Done,Package,Item,Title,Rows,Cols,has_logical,has_binary,has_numeric,has_character,CSV,Doc
3/29/2019,boot,acme,Monthly Excess Returns,60,3,FALSE,FALSE,TRUE,TRUE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/acme.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/acme.html
3/29/2019,boot,aids,Delay in AIDS Reporting in England and Wales,570,6,FALSE,TRUE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aids.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aids.html
3/29/2019,boot,aircondit,Failures of Air-conditioning Equipment,12,1,FALSE,FALSE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aircondit.html
3/29/2019,boot,aircondit7,Failures of Air-conditioning Equipment,24,1,FALSE,FALSE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit7.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aircondit7.html
3/29/2019,boot,amis,Car Speeding and Warning Signs,8437,4,FALSE,TRUE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/amis.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/amis.html
3/29/2019,boot,aml,Remission Times for Acute Myelogenous Leukaemia,23,3,FALSE,TRUE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aml.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/aml.html
3/29/2019,boot,beaver,Beaver Body Temperature Data,100,4,FALSE,TRUE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/beaver.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/beaver.html
3/29/2019,boot,bigcity,Population of U.S. Cities,49,2,FALSE,FALSE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/bigcity.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/bigcity.html
3/29/2019,boot,brambles,Spatial Location of Bramble Canes,823,3,FALSE,FALSE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/brambles.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/brambles.html
3/29/2019,boot,breslow,Smoking Deaths Among Doctors,10,5,FALSE,TRUE,TRUE,FALSE,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/breslow.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/boot/breslow.html
